Best: 0.8 using {'activation': 'relu', 'alpha': 0.5, 'hidden_layer_sizes': (100, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'lbfgs'}
______________________________________________________________________________________________________________________________________________________
-7.55 (0.7427773488962426) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'adam'}
-17.68 (5.148143852248882) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'sgd'}
-1.65 (0.46310426834301543) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1000, 'solver': 'lbfgs'}
-7.33 (0.84740653740396) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'adam'}
-20.04 (6.116201608364964) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'sgd'}
-1.61 (0.30395867679252947) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1200, 'solver': 'lbfgs'}
-7.25 (0.8928717090817836) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'adam'}
-19.76 (4.07273739996056) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'sgd'}
-2.04 (0.1224051929046635) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'constant', 'max_iter': 1500, 'solver': 'lbfgs'}
-7.6 (0.9439439615435433) with: {'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (80, 120), 'learning_rate': 'adaptive', 'max_iter': 1000, 'solver': 'adam'}
